epoch,BoxAP,PoseAP
520,0.669,0.459
521,0.669,0.459
522,0.669,0.459
523,0.669,0.459
524,0.669,0.459
525,0.669,0.460
526,0.669,0.461
527,0.669,0.461
528,0.669,0.461
529,0.669,0.461
530,0.670,0.461
531,0.669,0.461
532,0.670,0.461
533,0.669,0.461
534,0.669,0.461
535,0.669,0.461
536,0.669,0.461
537,0.669,0.461
538,0.669,0.461
539,0.669,0.462
540,0.669,0.461
541,0.670,0.461
542,0.669,0.461
543,0.670,0.461
544,0.670,0.461
545,0.670,0.461
546,0.670,0.462
547,0.670,0.462
548,0.670,0.462
549,0.670,0.462
550,0.670,0.462
551,0.670,0.462
552,0.670,0.463
553,0.671,0.463
554,0.671,0.463
555,0.670,0.463
556,0.670,0.462
557,0.670,0.462
558,0.670,0.462
559,0.670,0.462
560,0.670,0.462
561,0.670,0.462
562,0.670,0.462
563,0.670,0.463
564,0.670,0.463
565,0.670,0.464
566,0.670,0.464
567,0.671,0.464
568,0.671,0.463
569,0.670,0.463
570,0.670,0.464
571,0.671,0.464
572,0.671,0.464
573,0.671,0.465
574,0.671,0.465
575,0.671,0.465
576,0.671,0.464
577,0.671,0.464
578,0.672,0.464
579,0.671,0.464
580,0.671,0.464
581,0.671,0.464
582,0.671,0.465
583,0.671,0.465
584,0.672,0.465
585,0.671,0.465
586,0.672,0.465
587,0.672,0.465
588,0.672,0.465
589,0.672,0.466
590,0.672,0.466
591,0.672,0.466
592,0.672,0.466
593,0.672,0.466
594,0.672,0.466
595,0.672,0.466
596,0.672,0.466
597,0.673,0.466
598,0.673,0.467
599,0.673,0.467
600,0.673,0.467
601,0.672,0.466
602,0.672,0.467
603,0.673,0.467
604,0.672,0.466
605,0.672,0.467
606,0.672,0.467
607,0.673,0.466
608,0.673,0.467
609,0.673,0.467
610,0.673,0.467
611,0.673,0.467
612,0.673,0.468
613,0.673,0.467
614,0.673,0.468
615,0.673,0.468
616,0.673,0.468
617,0.673,0.468
618,0.674,0.468
619,0.673,0.468
620,0.673,0.467
621,0.673,0.467
622,0.674,0.468
623,0.673,0.467
624,0.673,0.467
625,0.673,0.468
626,0.673,0.468
627,0.673,0.468
628,0.673,0.468
629,0.673,0.468
630,0.673,0.468
631,0.673,0.469
632,0.673,0.469
633,0.673,0.469
634,0.673,0.469
635,0.673,0.469
636,0.674,0.469
637,0.673,0.469
638,0.674,0.469
639,0.673,0.469
640,0.673,0.469
641,0.673,0.469
642,0.673,0.469
643,0.673,0.468
644,0.673,0.468
645,0.673,0.468
646,0.673,0.468
647,0.673,0.469
648,0.673,0.469
649,0.673,0.469
650,0.673,0.469
651,0.673,0.468
652,0.673,0.468
653,0.673,0.469
654,0.673,0.468
655,0.673,0.468
656,0.673,0.469
657,0.673,0.468
658,0.673,0.468
659,0.673,0.469
660,0.673,0.469
661,0.673,0.469
662,0.673,0.469
663,0.673,0.469
664,0.673,0.469
665,0.673,0.469
666,0.673,0.469
667,0.673,0.470
668,0.673,0.470
669,0.673,0.470
670,0.673,0.471
671,0.673,0.471
672,0.673,0.471
673,0.673,0.470
674,0.673,0.470
675,0.674,0.470
676,0.673,0.470
677,0.674,0.471
678,0.673,0.471
679,0.674,0.471
680,0.674,0.471
681,0.674,0.472
682,0.673,0.472
683,0.673,0.472
684,0.673,0.472
685,0.673,0.472
686,0.673,0.473
687,0.673,0.473
688,0.673,0.473
689,0.673,0.473
690,0.673,0.473
691,0.673,0.473
692,0.673,0.473
693,0.673,0.473
694,0.673,0.474
695,0.674,0.473
696,0.673,0.473
697,0.673,0.473
698,0.674,0.474
699,0.674,0.473
700,0.674,0.473
701,0.674,0.473
702,0.674,0.474
703,0.674,0.474
704,0.674,0.474
705,0.674,0.475
706,0.674,0.475
707,0.675,0.475
708,0.674,0.475
709,0.675,0.475
710,0.675,0.475
711,0.675,0.475
712,0.676,0.475
713,0.676,0.475
714,0.676,0.475
715,0.676,0.475
716,0.676,0.475
717,0.676,0.475
718,0.676,0.475
719,0.676,0.475
720,0.676,0.475
721,0.676,0.475
722,0.676,0.475
723,0.676,0.475
724,0.676,0.475
725,0.677,0.475
726,0.677,0.475
727,0.677,0.475
728,0.677,0.475
729,0.677,0.476
730,0.677,0.476
731,0.677,0.476
732,0.677,0.476
733,0.677,0.475
734,0.677,0.475
735,0.678,0.476
736,0.677,0.476
737,0.677,0.477
738,0.678,0.477
739,0.677,0.477
740,0.677,0.478
741,0.677,0.478
742,0.677,0.477
743,0.677,0.478
744,0.677,0.478
745,0.677,0.478
746,0.677,0.478
747,0.677,0.478
748,0.677,0.478
749,0.677,0.478
750,0.678,0.478
751,0.678,0.478
752,0.677,0.478
753,0.677,0.478
754,0.678,0.479
755,0.677,0.479
756,0.677,0.479
757,0.677,0.480
